Kalem,2024/12,2024/9,2024/6,2024/3,2023/12,2023/9,2023/6,2023/3,2022/12,2022/9,2022/6,2022/3,2021/12,2021/9,2021/6,2021/3,2020/12,2020/9,2020/6,2020/3,2019/12,2019/9,2019/6,2019/3,2018/12,2018/9,2018/6,2018/3,2017/12,2017/9,2017/6,2017/3,2016/12,2016/9,2016/6
    Diðer Uzun Vadeli Yükümlülükler,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Toplam Uzun Vadeli Yükümlülükler,3.80061E+11,3.86956E+11,3.44483E+11,3.43881E+11,3.25023E+11,3.63435E+11,3.35687E+11,2.49603E+11,2.43104E+11,2.29402E+11,2.03594E+11,1.81974E+11,1.72615E+11,1.20673E+11,1.19038E+11,1.11563E+11,1.00512E+11,99187000000,84164000000,80836000000,70659000000,64398000000,63156000000,61974000000,50546000000,56294000000,41785000000,33602000000,32267000000,29889000000,29330000000,32332000000,31343000000,28562000000,27363000000
Özkaynaklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Ana Ortaklýða Ait Özkaynaklar,6.79887E+11,6.18586E+11,5.57648E+11,5.15404E+11,4.57257E+11,3.43276E+11,2.68764E+11,1.91254E+11,1.81422E+11,1.81529E+11,1.34957E+11,1.05203E+11,90640000000,57598000000,48864000000,47844000000,39502000000,43980000000,40806000000,41334000000,40792000000,37525000000,33272000000,33168000000,31281000000,36639000000,24943000000,20074000000,20171000000,18866000000,16135000000,16985000000,17899000000,13903000000,12852000000
    Ödenmiþ Sermaye,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000,1380000000
    Sermaye Düzeltme Farklarý,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000,1124000000
    Birleþme Denkleþtirme Hesabý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Pay Sahiplerinin Ýlave Sermaye Katkýlarý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Sermaye Avansý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Geri Alýnmýþ Paylar (-),-853000000,-655000000,-655000000,-655000000,-655000000,-635000000,-585000000,-294000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,
    Karþýlýklý Ýþtirak Sermaye Düzeltmesi (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Paylara Ýliþkin Primler (Ýskontolar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Ortak Kontrole Tabi Teþebbüs veya Ýþletmeleri Ýçeren Birleþmelerin Etkisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Pay Bazlý Ödemeler (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Kar veya Zararda Yeniden Sýnýflandýrýlmayacak Birikmiþ Diðer Kapsamlý Gelirler (Giderler),2.71622E+11,2.51803E+11,2.29929E+11,2.223E+11,1.87496E+11,1.69039E+11,1.53406E+11,1.06789E+11,92168000000,1.03748E+11,-1370000000,-1080000000,66835000000,-440000000,-432000000,-358000000,-352000000,-353000000,-308000000,-253000000,-226000000,-220000000,-225000000,-192000000,-184000000,-92000000,-70000000,-54000000,-55000000,-35000000,-35000000,-41000000,-37000000,-19000000,-18000000
    Kar veya Zararda Yeniden Sýnýflandýrýlacak Birikmiþ Diðer Kapsamlý Gelirler (Giderler),63457000000,46303000000,58761000000,54537000000,38112000000,36064000000,28464000000,11038000000,19948000000,17414000000,1.03078E+11,82189000000,1931000000,38146000000,35695000000,34104000000,26194000000,30288000000,26123000000,24362000000,21770000000,20446000000,19905000000,19901000000,16651000000,21879000000,14117000000,9673000000,9405000000,7896000000,7603000000,8265000000,7754000000,5039000000,4535000000
    Kardan Ayrýlan Kýsýtlanmýþ Yedekler,912000000,714000000,714000000,714000000,714000000,694000000,644000000,353000000,59000000,414000000,414000000,238000000,59000000,238000000,238000000,238000000,211000000,211000000,211000000,184000000,184000000,59000000,59000000,59000000,59000000,59000000,59000000,59000000,59000000,59000000,59000000,59000000,59000000,59000000,59000000
    Diðer Özkaynak Paylarý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Diðer Yedekler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Ödenen Kar Payý Avanslarý (Net) (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Geçmiþ Yýllar Kar/Zararlarý,2.28888E+11,2.29086E+11,2.29086E+11,2.29086E+11,66088000000,66108000000,66158000000,66449000000,19311000000,18956000000,18956000000,19132000000,11097000000,10918000000,10918000000,10918000000,16533000000,16533000000,16533000000,16560000000,12024000000,12149000000,12149000000,12149000000,8206000000,8206000000,8206000000,8206000000,7619000000,7619000000,7619000000,7619000000,7666000000,7666000000,7666000000
    Dönem Net Kar/Zararý,1.13357E+11,88831000000,37309000000,6918000000,1.62998E+11,69502000000,18173000000,4415000000,47432000000,38493000000,11375000000,2220000000,8214000000,6232000000,-59000000,438000000,-5588000000,-5203000000,-4257000000,-2023000000,4536000000,2587000000,-1120000000,-1253000000,4045000000,4083000000,127000000,-314000000,639000000,823000000,-1615000000,-1421000000,-47000000,-1346000000,-1894000000
    Azýnlýk Paylarý,125000000,105000000,119000000,117000000,-145000000,124000000,121000000,53000000,5000000,10000000,10000000,10000000,10000000,10000000,9000000,9000000,9000000,10000000,9000000,9000000,3000000,3000000,3000000,3000000,3000000,,,,0,,,,,,
    Toplam Özkaynaklar,6.80012E+11,6.18691E+11,5.57767E+11,5.15521E+11,4.57112E+11,3.434E+11,2.68885E+11,1.91307E+11,1.81427E+11,1.81539E+11,1.34967E+11,1.05213E+11,90650000000,57608000000,48873000000,47853000000,39511000000,43990000000,40815000000,41343000000,40795000000,37528000000,33275000000,33171000000,31284000000,36639000000,24943000000,20074000000,20171000000,18866000000,16135000000,16985000000,17899000000,13903000000,12852000000
    Toplam Kaynaklar,1.39961E+12,1.35367E+12,1.23384E+12,1.16598E+12,1.04894E+12,9.5034E+11,8.53692E+11,6.14256E+11,5.78571E+11,5.64217E+11,4.89237E+11,3.99183E+11,3.53708E+11,2.41135E+11,2.28572E+11,2.11275E+11,1.87402E+11,1.91021E+11,1.69298E+11,1.62702E+11,1.46871E+11,1.35503E+11,1.32762E+11,1.29054E+11,1.09076E+11,1.22984E+11,90375000000,73129000000,68647000000,66232000000,64473000000,67203000000,65074000000,55716000000,52416000000
